0.01,0
0.011,0
0.012,0
0.013,1
0.014,0
0.015,0
0.016,0
0.017,0
0.02,0
0.021,0
0.022,1
0.023,0
0.024,0
0.025,0
0.026,0
0.027,1
0.028,1
0.029,0
0.03,1
0.031,1
0.032,0
0.033,0
0.034,0
0.035,1
0.036,0
0.037,0
0.038,0
0.039,1
0.041,1
0.042,0
0.043,0
0.044,2
0.045,0
0.046,1
0.048,0
0.049,0
0.05,0
0.051,0
0.052,0
0.053,1
0.054,0
0.056,1
0.057,1
0.058,1
0.059,1
0.061,0
0.063,1
0.064,1
0.065,2
0.067,0
0.068,1
0.069,0
0.07,0
0.071,1
0.072,0
0.074,1
0.076,0
0.077,2
0.079,0
0.08,1
0.081,0
0.082,0
0.083,1
0.084,2
0.085,0
0.087,0
0.088,0
0.09,0
0.091,2
0.092,2
0.093,0
0.094,1
0.095,2
0.097,0
0.1,16
