0.01,6
0.011,1
0.012,0
0.013,1
0.014,0
0.015,1
0.016,0
0.017,2
0.02,0
0.021,0
0.022,0
0.023,0
0.024,1
0.025,0
0.026,0
0.027,0
0.028,1
0.029,0
0.03,2
0.031,0
0.032,1
0.033,0
0.034,1
0.035,0
0.036,0
0.037,0
0.038,0
0.039,0
0.041,1
0.042,1
0.043,0
0.044,0
0.045,0
0.046,0
0.048,1
0.049,1
0.05,0
0.051,0
0.052,0
0.053,0
0.054,1
0.056,1
0.057,0
0.058,0
0.059,1
0.061,0
0.063,0
0.064,1
0.065,1
0.067,1
0.068,1
0.069,1
0.07,1
0.071,0
0.072,1
0.074,1
0.076,1
0.077,1
0.079,0
0.08,2
0.081,0
0.082,1
0.083,0
0.084,1
0.085,0
0.087,1
0.088,0
0.09,0
0.091,1
0.092,1
0.093,0
0.094,1
0.095,1
0.097,0
0.1,10
